text,label
Feeling helpless as I watch the global food markets destabilize. This will have long-term effects. #GlobalFoodCrisis #COVID19,negative
Sick of seeing empty shelves! Panic buyers are making life impossible for those who actually need supplies. #SelfishnessOverSense,extremely negative
"Seeing empty shelves is the new normal, thanks to the panic buyers. Great job, humanity. #COVID19Fiasco",extremely negative
Virtual film festivals are a cinephile??s delight! Movie magic from the comfort of my couch. ???????? #FilmLove #VirtualEvents,extremely positive
"During a time when thousands are stocking up on food and essentials, the shelves at food banks in the Peterborough area seem to be dwindling in supplies. But Kawartha Food Share says there is no need to panic. 
https://t.co/AMA9MtXxKy",extremely negative
In awe of how quickly scientists have shared their findings globally. Collaboration is key! #GlobalScience #UnitedAgainstCovid,extremely positive
"Consumer goods giant @Unilever said on Tuesday it would protect its workforce from the financial impact of the #coronavirus by continuing to pay contractors and other part time staff for up to three months. #FMCG #retail
https://t.co/X9BkbyOlLi",positive
"Statistics Canada reveals a marginal increase in consumer price in February. 
#Canada #ConsumerPrices #CPI #ForexNews #Coronavirus #USDCAD #DouglasPorter #BankOfCanada
https://t.co/mxexkA2TBo",positive
Now is a really good time for all those meth dealers and their labs to put their know how into making alcohol sanitizer and n95 masks. #coronavirus @nbcsnl,positive
COVID-19 and the environment: a pause in human activity offers insights into environmental impact. #Environment #PandemicReflections,neutral
"Safety tips for grocery shopping during #COVID19: Always wear a mask, sanitize hands, and maintain distance. #SafeShopping",neutral
Economic Update: Gasoline prices are expected to drop due to the pandemic's impact. #FuelEconomy #COVID19,neutral
Carnivorous is an anagram of #coronavirus - that is one freaky coincidence! Might this be where we end up as a result of weeks more of supermarket shortages plus #UKlockdown?! ???,negative
Remote learning challenges and successes during COVID-19. #OnlineEducation #LearningFromHome,neutral
"????The Lucky Charms were all gone.???? Disappointments of a food shopper trying to stock up. https://t.co/AiEMMHbvWm. 

Fascinating look at consumer buying habits during COVID-19. It will be interesting to see what changes occur long term. Via @WSJ",extremely positive
Every day brings more bad news. The stress of this pandemic is unbearable. #COVID19Stress,extremely negative
"Saw someone at the store coughing all over the produce. Seriously, people? #coronavirus #publichealth",negative
A story about a local winery and distillery that????s trading wine and spirits for sanitation and safety during the #coronavirus pandemic. https://t.co/ZnrLekrEXU,positive
"Just saw someone coughing in the supermarket without covering their mouth. #COVID19 is not a joke, people! #irresponsible",negative
"This pandemic has exposed the worst in society: greed, selfishness, and apathy. #SocietyFailing",extremely negative
"Seriously??
Buy this shirt at https://t.co/hh1flpk2xT
#alonetogether #Quarantine #ToiletPaperPanic #toiletpaper #funny #coronavirus #COVID19 #virus #WashYourHands #StayHomeTexas #Memes #meme #ChinaLiedAndPeopleDied  #shirts #CoronaVirusUpdate #toiletpapercrisis #StayHome #China https://t.co/QNCgoqyYTp",negative
"United Sikhs opens food banks aim to help disadvantaged and vulnerable groups, especially seniors citizens and children to tackle COVID-19 shortage and prevent panic buying

https://t.co/0d3yZk9cjm",negative
"#RT @SN_news: #Target scales back store remodels, openings due to #coronavirus https://t.co/blsLkARbzq via @SN_news #covid19 @Target #supermarketnews https://t.co/vOj84p8ovF",neutral
The uncertainty of when this will end is the hardest part. #COVID19 #UncertainFuture,negative
Enjoying the creativity and humor in quarantine memes. Laughter is the best medicine! #QuarantineHumor #StayPositive,positive
"Why is it so hard to find factual, unbiased information about COVID-19? #Misinformation #PandemicConfusion",negative
"...SUPERMARKET &amp; RESTAURANT WORKERS, DELIVER GUYS and everyone who????s helping and contributing to keep us safe and well... And lastly, EVERYONE WHO????S STAYING HOME to contribute in their little way... #stayhomestaysafe #thankyouheroes We need to be together to fight #covid_19",positive
"Thanks to Jason, Jay and Loui for showing John, one of our Executive Directors, the ropes this morning. John spent the morning emptying bins in #Selsey . He was utterly impressed. Thanks to the residents who were clapping and leaving notes and chocolates. They were really touched https://t.co/4R654J86up",extremely positive
Health tip: Regular exercise can boost your immune system. Here are some indoor exercise ideas. #FitnessFromHome #Wellness,neutral
The outpouring of support for healthcare workers from all corners of the community is heartwarming. #HealthcareHeroes #CommunitySupport,extremely positive
The importance of social distancing in controlling the spread of COVID-19. #SocialDistancing #FlattenTheCurve,neutral
Guys please stay safe. COVID-19 has been spreading rapidly in Pakistan. Please understand that if you don't take this pandemic seriously it can go very wrong. Please stock up your houses with food as the lawyer sector in Pakistan has been given holidays. This shows that +,extremely positive
Airline prices skyrocketing amidst a pandemic. How is this fair? #airlinetroubles #COVID19,negative
"@usatodaysports @cbrennansports #2020Olympics have been replaced by the Covid Olympics. For example, the 50 meter toilet paper dash. #COVID?19 #COVID #Olympics2020 #coronavirus #Tokyo2020 #toiletpaper 
https://t.co/zQkF141qCK",neutral
